Sensor,Traffic Flow,Red Light Flow,Battery Power Level%,Light Status,Bulb Status,Accident Status,Gunshot 
NS1,3,0,84,G,N/A,0,0,
NS1,6,0,90,G,N/A,0,0,
NS1,7,0,86,G,N/A,0,1,
NS1,17,0,51,G,N/A,0,0,
NS1,0,0,59,G,N/A,0,0,
NS1,19,0,47,G,N/A,0,0,
NS1,8,0,59,G,N/A,0,0,
NS1,3,0,53,G,N/A,0,0,
NS1,15,0,46,G,N/A,0,0,
NS1,10,0,29,G,N/A,0,0,
NS1,16,0,42,G,N/A,0,0,
NS1,10,0,67,G,N/A,0,1,
NS1,10,0,79,G,N/A,0,0,
NS1,3,0,75,G,N/A,0,0,
NS1,15,0,76,G,N/A,0,0,
NS1,22,0,48,G,N/A,0,0,
NS1,8,0,31,G,N/A,0,0,
NS1,17,0,55,G,N/A,0,0,
NS1,17,0,75,G,N/A,0,0,
NS1,14,0,52,G,N/A,0,0,
NS1,17,0,74,G,N/A,0,0,
NS1,7,0,78,G,N/A,0,0,
NS1,19,0,57,G,N/A,0,0,
NS1,24,0,80,G,N/A,0,0,
NS1,18,0,49,G,N/A,0,0,
NS1,2,0,36,G,N/A,0,0,
NS1,10,0,43,A,N/A,0,0,
NS1,19,0,49,A,N/A,0,0,
NS1,12,0,64,A,N/A,0,0,
NS1,24,0,47,A,N/A,0,0,
NS1,9,0,66,A,N/A,0,1,
NS1,0,3,38,R,N/A,0,1,
NS1,0,0,58,R,N/A,0,0,
NS1,0,1,45,R,N/A,0,0,
NS1,0,0,60,R,N/A,0,0,
NS1,0,0,48,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,0,0,55,R,N/A,0,0,
NS1,0,0,48,R,N/A,0,0,
NS1,0,0,53,R,N/A,0,0,
NS1,0,0,37,R,N/A,0,0,
NS1,0,0,50,R,N/A,0,0,
NS1,0,0,75,R,N/A,0,1,
NS1,0,0,91,R,N/A,0,0,
NS1,0,0,83,R,N/A,0,0,
NS1,0,0,90,R,N/A,0,0,
NS1,0,0,74,R,N/A,0,0,
NS1,0,0,79,R,N/A,0,1,
NS1,0,0,46,R,N/A,0,0,
NS1,0,0,50,R,N/A,0,0,
NS1,0,0,74,R,N/A,0,0,
NS1,0,0,69,R,N/A,0,0,
NS1,0,0,75,R,N/A,0,1,
NS1,0,0,48,R,N/A,0,0,
NS1,0,0,37,R,N/A,0,0,
NS1,0,0,31,R,N/A,0,1,
NS1,0,0,35,R,N/A,0,0,
NS1,0,0,58,R,N/A,0,0,
NS1,0,0,58,R,N/A,0,0,
NS1,0,0,70,R,N/A,0,0,
NS1,0,0,76,R,N/A,0,0,
NS1,4,0,65,G,N/A,0,0,
NS1,22,0,67,G,N/A,0,0,
NS1,7,0,48,G,N/A,0,1,
NS1,13,0,70,G,N/A,0,0,
NS1,9,0,64,G,N/A,0,0,
NS1,15,0,79,G,N/A,0,0,
NS1,0,0,57,G,N/A,0,0,
NS1,0,0,57,G,N/A,0,0,
NS1,2,0,59,G,N/A,0,0,
NS1,4,0,47,G,N/A,0,0,
NS1,9,0,69,G,N/A,0,0,
NS1,9,0,48,G,N/A,0,0,
NS1,22,0,78,G,N/A,0,0,
NS1,16,0,88,G,N/A,0,0,
NS1,23,0,95,G,N/A,0,0,
NS1,5,0,96,G,N/A,0,0,
NS1,20,0,54,G,N/A,0,0,
NS1,10,0,40,G,N/A,0,0,
NS1,16,0,58,G,N/A,0,0,
NS1,4,0,71,G,N/A,0,0,
NS1,10,0,61,G,N/A,0,1,
NS1,21,0,49,G,N/A,0,0,
NS1,16,0,67,G,N/A,0,0,
NS1,14,0,86,G,N/A,0,1,
NS1,13,0,85,G,N/A,0,0,
NS1,19,0,95,A,N/A,0,0,
NS1,5,0,59,A,N/A,0,1,
NS1,1,0,45,A,N/A,0,0,
NS1,21,0,49,A,N/A,0,0,
NS1,16,0,39,A,N/A,0,0,
NS1,0,2,57,R,N/A,0,0,
NS1,0,0,67,R,N/A,0,0,
NS1,0,0,75,R,N/A,0,0,
NS1,0,2,55,R,N/A,0,0,
NS1,0,0,70,R,N/A,0,0,
NS1,0,0,83,R,N/A,0,0,
NS1,0,0,66,R,N/A,0,0,
NS1,0,0,64,R,N/A,0,0,
NS1,0,0,70,R,N/A,0,0,
NS1,0,0,40,R,N/A,0,0,
NS1,0,0,26,R,N/A,0,0,
NS1,0,0,63,R,N/A,0,0,
NS1,0,0,68,R,N/A,0,0,
NS1,0,0,81,R,N/A,0,0,
NS1,0,0,83,R,N/A,0,0,
NS1,0,0,86,R,N/A,0,0,
NS1,0,0,58,R,N/A,0,0,
NS1,0,0,50,R,N/A,0,0,
NS1,0,0,58,R,N/A,0,1,
NS1,0,0,49,R,N/A,0,0,
NS1,0,0,74,R,N/A,0,0,
NS1,0,0,53,R,N/A,0,0,
NS1,0,0,79,R,N/A,0,0,
NS1,0,0,60,R,N/A,0,0,
NS1,0,0,56,R,N/A,0,0,
NS1,0,0,48,R,N/A,0,1,
NS1,0,0,50,R,N/A,0,0,
NS1,0,0,34,R,N/A,0,0,
NS1,0,0,34,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,3,0,73,G,N/A,0,0,
NS1,12,0,73,G,N/A,0,0,
NS1,23,0,81,G,N/A,0,0,
NS1,14,0,74,G,N/A,0,0,
NS1,15,0,69,G,N/A,0,0,
NS1,22,0,73,G,N/A,0,0,
NS1,10,0,51,G,N/A,0,0,
NS1,4,0,56,G,N/A,0,0,
NS1,21,0,66,G,N/A,0,0,
NS1,12,0,45,G,N/A,0,1,
NS1,15,0,40,G,N/A,0,0,
NS1,10,0,28,G,N/A,0,0,
NS1,9,0,27,G,N/A,0,0,
NS1,7,0,34,G,N/A,0,0,
NS1,18,0,55,G,N/A,0,0,
NS1,4,0,46,G,N/A,0,0,
NS1,23,0,67,G,N/A,0,0,
NS1,2,0,58,G,N/A,0,0,
NS1,10,0,70,G,N/A,0,0,
NS1,5,0,67,G,N/A,0,0,
NS1,0,0,78,G,N/A,0,0,
NS1,11,0,69,G,N/A,0,0,
NS1,24,0,85,G,N/A,0,0,
NS1,14,0,85,G,N/A,0,0,
NS1,19,0,71,G,N/A,0,0,
NS1,13,0,40,A,N/A,0,0,
NS1,23,0,73,A,N/A,0,0,
NS1,4,0,66,A,N/A,0,0,
NS1,20,0,73,A,N/A,0,0,
NS1,10,0,76,A,N/A,0,0,
NS1,0,3,90,R,N/A,0,0,
NS1,0,1,50,R,N/A,0,0,
NS1,0,0,39,R,N/A,0,0,
NS1,0,0,41,R,N/A,0,0,
NS1,0,0,66,R,N/A,0,1,
NS1,0,0,45,R,N/A,0,0,
NS1,0,0,44,R,N/A,0,1,
NS1,0,0,49,R,N/A,0,0,
NS1,0,0,43,R,N/A,0,0,
NS1,0,0,47,R,N/A,0,0,
NS1,0,0,44,R,N/A,0,0,
NS1,0,0,53,R,N/A,0,0,
NS1,0,0,53,R,N/A,0,0,
NS1,0,0,46,R,N/A,0,0,
NS1,0,0,51,R,N/A,0,0,
NS1,0,0,62,R,N/A,0,0,
NS1,0,0,80,R,N/A,0,0,
NS1,0,0,81,R,N/A,0,0,
NS1,0,0,57,R,N/A,0,0,
NS1,0,0,80,R,N/A,0,0,
NS1,0,0,45,R,N/A,0,0,
NS1,0,0,51,R,N/A,0,0,
NS1,0,0,75,R,N/A,0,0,
NS1,0,0,72,R,N/A,0,0,
NS1,0,0,78,R,N/A,0,0,
NS1,0,0,48,R,N/A,0,0,
NS1,0,0,42,R,N/A,0,0,
NS1,0,0,37,R,N/A,0,0,
NS1,0,0,69,R,N/A,0,0,
NS1,0,0,83,R,N/A,0,0,
NS1,17,0,71,G,N/A,0,0,
NS1,9,0,45,G,N/A,0,0,
NS1,17,0,50,G,N/A,0,0,
NS1,22,0,63,G,N/A,0,0,
NS1,19,0,46,G,N/A,0,0,
NS1,4,0,68,G,N/A,0,0,
NS1,5,0,83,G,N/A,0,0,
NS1,4,0,48,G,N/A,0,0,
NS1,12,0,47,G,N/A,0,0,
NS1,18,0,64,G,N/A,0,0,
NS1,9,0,51,G,N/A,0,0,
NS1,16,0,51,G,N/A,0,0,
NS1,21,0,64,G,N/A,0,0,
NS1,24,0,60,G,N/A,0,0,
NS1,12,0,41,G,N/A,0,1,
NS1,5,0,57,G,N/A,0,0,
NS1,9,0,76,G,N/A,0,0,
NS1,24,0,63,G,N/A,0,0,
NS1,16,0,63,G,N/A,0,0,
NS1,14,0,48,G,N/A,0,0,
NS1,18,0,78,G,N/A,0,0,
